gene	atnos1	coi1	dde2	ein2-1	ein3	jar1	jin1	mpk3	mpk6	ndr1-1	nho1	nia2	npr1-1	pad4-1	pbs2-1	pen2	pmr4	rbohD	rbohF	rps2-101C	sag101	sid2-2
At1g45145	-1.093907585	-1.95214555	-1.108094062	0.446177893	-0.400005296	-0.963603062	-0.493934062	-0.145418096	-0.131066395	-3.413444747	-0.13030455	-0.22223121	-1.590441096	-1.163554507	-0.914005413	-0.815912883	-0.10559455	0.016934015	-0.14066621	-2.244071747	0.035071783	-1.336058747
At1g47830	-0.436904176	-0.075384639	0.221094943	-0.165620037	-0.250981265	0.176359277	0.012242943	0.069571335	0.035750277	-0.771716678	0.071873694	-0.132702242	-0.182900065	-0.287318637	-0.533311344	-0.033082972	-0.022706972	-0.073233976	0.064955091	-0.499743678	-0.077742306	-0.195532011
At1g51660	-0.381829165	-0.228893629	-0.260527882	-0.306781508	-0.345690108	-0.156340549	-0.180833549	-0.272015108	-0.259288215	-1.479775215	0.141741371	-0.053536977	-0.718072108	-0.630055508	-0.523248882	-0.614145629	-0.192758629	-0.654361565	-0.009783977	-0.659731215	-0.095099629	-0.319538215
At1g51680	-0.546794531	0.233392238	-0.166885858	0.343593126	-0.226030292	-0.149607525	-0.289447858	0.164917108	-0.298999191	-1.023120495	0.220394238	0.01826941	-0.461390292	-0.547494074	-0.659204828	0.098598905	0.135433238	-0.463911731	-0.280061257	-0.558714162	0.015939572	-0.854189495
At1g54010	0.013400664	-1.302450038	0.20484631	0.426467	0.314773613	0.083293977	-0.082368357	-0.076999787	0.15026531	-0.104871046	0.145032295	0.062983729	0.334417213	0.911697	-0.024826712	0.374974295	0.007574628	0.165808264	-0.063606938	0.318478288	0.081570962	0.087400621
At1g55020	-0.545006179	-0.287787516	-0.723260459	-0.066685217	-0.452768055	-0.591316792	-0.450912459	-0.322212055	-0.193371126	-0.432896394	0.145427818	-0.676244664	-0.693839455	-0.339550617	-0.214285061	0.149817484	0.106979151	-0.491849179	-0.389582998	-0.465214394	0.006169151	-0.373217728
At1g56650	-0.071128916	0.047726756	0.05710663	0.176304917	0.001618411	-0.037073036	-0.17219337	0.293754811	-0.10221637	0.455729141	0.091118423	0.276179418	0.084663011	0.433066317	0.217862808	0.370411423	0.248489423	0.268823084	-0.086089582	0.281085475	0.194358756	0.144941808
At1g59870	-0.362502561	0.139816661	-0.506141363	0.091682277	-0.254607324	-0.207534363	-0.192534697	-0.157011924	-0.39768703	-1.971865028	-0.088575673	-0.29857376	-0.532716324	-0.408790323	-0.597371695	0.355905327	0.423557327	0.009460639	-0.384435426	-0.207143028	0.214312327	-0.518646362
At1g61560	-0.561661386	0.015106173	-0.500430044	-0.024497493	-0.380526228	-0.470512377	-0.198976044	0.163385572	-0.243116044	-1.518062819	0.020554173	-0.176875974	-0.594758428	-0.299914893	-0.225215486	-0.04509516	0.31361784	-0.215692986	-0.037212974	-0.885482819	0.248919506	-1.253138486
At1g61810	-1.152232672	-0.221740556	-0.745258215	-0.045245914	-0.432170779	-0.590101215	-0.406688215	-0.282451379	-0.358402549	-1.899059775	0.211725111	-0.541582038	-0.931931379	-1.149666314	-1.096573775	-0.217645223	0.299184777	-0.248718472	-0.007644038	-1.769263108	-0.002934889	-1.603191108
At1g62300	-0.767603416	0.130869107	-0.466479543	0.232169057	-0.197989747	-0.580733209	-0.259775209	-0.153017547	-0.272105209	-2.105140204	0.235904774	-0.067457326	-0.437189347	-1.069733343	-1.151084537	-0.095807226	0.269473774	-0.364339616	0.167018341	-1.612250537	0.33044944	-0.950460204
At1g62570	0.189723485	-0.824317277	-0.355406336	-0.525730607	-0.055211091	-0.133727336	-0.048153002	-0.227822291	0.163972664	-0.716005195	0.031241723	0.151289291	0.304903509	0.293587593	-0.179988195	-0.83286361	0.02935339	0.201112285	0.221180957	-0.565396195	-0.033395277	0.138788471
At1g62660	0.278835859	-1.859984523	0.043145464	0.111727019	0.110615521	0.201155464	0.141983131	-0.046645279	0.056381464	1.70870196	0.04875281	0.452840361	0.731586121	0.575680419	0.394548627	-0.245052857	-0.077561857	-0.041637941	-0.132577972	1.40452796	0.030102143	0.426096294
At1g64280	0.136787045	-0.347368047	-0.118467122	0.095069799	-0.193026131	-0.353503122	-0.126910788	-0.118393131	-0.244691788	0.068187094	-0.166567047	-0.029365829	0.030616469	0.096493399	-0.053062573	-0.067684047	-0.152976714	0.158881645	-0.037390829	0.228585094	0.065800286	0.157345094
At1g64710	-0.108471944	0.015561316	0.325775677	0.058374481	0.215830938	-0.154982657	0.178172343	0.099322938	0.048103343	-0.173049086	0.03544565	-0.049838795	0.564970138	-0.012574919	-0.166921752	0.072718316	-0.07231135	0.004494856	-0.240759461	0.165136914	0.056209316	0.132898248
At1g64980	-0.047504487	-0.519561335	0.117076168	0.061814208	-0.025383679	-0.125507166	0.020582168	-0.075231079	-0.115318499	-0.336696021	-0.115851668	0.210825154	-0.096095679	-0.050693792	-0.483598021	-0.315415335	-0.098677001	-0.129272887	-0.141747846	-0.705653021	-0.109918668	0.095899312
At1g65500	-0.342301009	0.900072157	0.678693127	0.108999991	0.313199429	0.348307127	0.238331127	0.125112829	0.02616446	0.216222731	-0.05858551	-0.043588269	-0.019528371	0.264483391	0.187723731	0.346425823	0.115369823	0.045006591	0.054711398	1.101099731	0.108021157	-0.190211936
At1g66340	-0.096706411	0.324593695	0.106048338	-0.043436255	0.003583556	-0.031479329	0.059282004	-0.241528444	-0.007993329	-0.537183681	0.124767028	-0.068034273	-0.117038844	-0.230888455	-0.194961348	-0.000698305	0.115921028	-0.155843211	0.116606727	-0.317422681	0.081424028	-0.366947014
At1g67350	0.007934777	-0.13496006	0.194666241	0.039292311	0.126774342	0.257700241	0.245482574	0.175900342	0.150860574	0.247712856	-0.166575393	0.099080633	0.208466742	0.161863311	0.081510856	0.02259994	-0.11300006	-0.021250423	-0.0409847	0.10267319	-0.045763393	0.124644523
At1g67360	-0.364770553	0.171903298	-0.374068838	0.02542072	-0.063825059	-0.264027171	0.056822495	-0.287792259	0.054741829	-1.780247205	-0.363543702	0.17595534	0.025060141	-0.50903108	-0.797388538	-0.257810369	-0.005631702	0.225467247	0.135627673	-1.644857205	-0.105918036	0.363406462
At1g68620	-1.245286747	-1.520464767	-1.025081769	0.26500827	-0.52358486	-1.048877769	-0.295704102	-0.23668206	-0.263094769	-2.327291218	0.087703566	-0.602048581	-1.22030346	-1.41959513	-1.165512552	-0.527718767	0.577132233	-0.097220747	-0.077583914	-2.000761552	0.4477519	-1.272632885
At1g68840	-0.503339273	0.315792553	-0.571115418	-0.31776293	-0.481651173	-0.525998418	0.072430582	0.054780027	-0.067042418	-1.50451468	0.178022887	0.097943416	-1.394724173	-1.10163513	-1.100056013	-0.159804113	0.132942887	-0.234618673	-0.009806584	-0.87417168	-0.007941447	-0.841371347
At1g69490	-0.564074763	0.709528145	-0.64272463	-1.02728952	-0.518270152	-0.57457663	-0.00378163	-0.105003352	-0.304726963	-2.13006891	-0.416815855	-0.068547648	-1.422677952	-0.94890492	-1.068656244	-0.155304189	-0.117078189	-0.255727563	-0.106817981	-1.458920577	0.265265811	-1.169088577
At1g70290	0.143324261	-0.999852616	-0.136779618	-0.003589792	0.064749958	-0.108502951	-0.103790951	0.059003158	0.145083049	0.976975133	-0.129180283	-0.077488446	0.205825758	0.227742808	0.113789133	0.114450717	0.199048384	0.077809861	-0.056643113	0.313922466	0.289885717	0.024860466
At1g70410	0.080029798	0.659205249	0.056015591	0.092187636	0.163051093	0.032793591	0.157326591	0.314844093	-0.143428075	0.134528496	-0.308506418	0.177174099	-0.148743907	0.014823636	-0.185510171	0.107691249	-0.022639751	0.182733598	0.017049099	0.078971496	-0.020300084	-0.158115504
At1g71030	0.52988747	0.591990584	0.063390334	-0.371654127	0.074076495	0.015982334	0.101124001	0.210782295	0.139643334	-0.116915702	0.121727584	0.062278626	0.348720695	0.289105873	0.018187965	0.163436917	0.16418425	0.15462107	0.094832293	-0.139272702	0.119240584	0.320977298
At1g71880	-0.109639658	0.617126867	-0.226902468	-0.583448501	-0.221340002	0.090368532	-0.151540802	0.057059798	-0.048050135	-0.546530967	0.017485533	0.250187437	-0.306636002	0.499047699	-0.185251301	0.0266092	0.191298867	-0.238088058	0.482196104	-0.179100967	0.0257582	-0.257891301
At1g72610	0.93654676	1.265829958	-0.325667032	0.426289212	0.632700508	0.870464968	0.136346968	0.310965908	0.163934302	3.636526808	-0.065574709	0.334455054	1.083063508	0.968426612	1.404234808	0.287270958	-0.076289375	0.30460696	0.135105054	2.534828808	-0.570072042	0.903991474
At1g72710	0.156840713	0.335963137	0.011080503	-0.011593309	0.02011009	-0.153555497	-0.132200163	0.08022629	-0.031894497	0.000644505	0.25704047	-0.033628125	-0.18493911	-0.023059909	0.004714172	0.18480347	0.194805804	-0.103405487	0.084700875	-0.072383495	0.170799137	0.001520838
At1g74020	-0.261011037	-0.205747658	-0.556089308	0.026675134	-0.167361668	-0.323502975	-0.117740975	0.053372732	-0.043357642	-1.301349306	0.161715675	-0.06048559	-0.427580468	-0.281201466	-0.388131972	0.029760009	0.372860342	0.125337163	-0.070774923	-0.490906306	0.264757342	-0.501641306
At1g74710	-0.228394616	-0.13940073	-0.077954999	0.18489579	-0.115516663	-0.684678332	-0.289392332	0.085826937	-0.052174332	-3.441678579	0.201587604	-0.101673921	0.560549337	-1.09454281	-0.793461912	-0.427039396	-0.02651173	0.333106984	-0.188138587	-1.627387245	0.14579527	-6.008526912
